"","X","id","dia","sentence","rating","Blocking","Identidy"
"272",68,"S068","sou","s4",7,"no","yes"
"273",69,"S069","sou","s1",4,"yes","no"
"274",69,"S069","sou","s2",5,"no","no"
"275",69,"S069","sou","s3",6,"no","yes"
"276",69,"S069","sou","s4",7,"no","yes"
"277",70,"S070","sou","s1",7,"yes","no"
"278",70,"S070","sou","s2",7,"no","no"
"279",70,"S070","sou","s3",7,"no","yes"
"280",70,"S070","sou","s4",7,"no","yes"
"281",71,"S071","sou","s1",6,"yes","no"
"282",71,"S071","sou","s2",7,"no","no"
"283",71,"S071","sou","s3",7,"no","yes"
"284",71,"S071","sou","s4",7,"no","yes"
"285",72,"S072","sou","s1",5,"yes","no"
"286",72,"S072","sou","s2",5,"no","no"
"287",72,"S072","sou","s3",7,"no","yes"
"288",72,"S072","sou","s4",7,"no","yes"
"289",73,"S073","sou","s1",7,"yes","no"
"290",73,"S073","sou","s2",6,"no","no"
"291",73,"S073","sou","s3",7,"no","yes"
"292",73,"S073","sou","s4",6,"no","yes"
"293",74,"S074","sou","s1",6,"yes","no"
"294",74,"S074","sou","s2",6,"no","no"
"295",74,"S074","sou","s3",6,"no","yes"
"296",74,"S074","sou","s4",7,"no","yes"
"297",75,"S075","sou","s1",4,"yes","no"
"298",75,"S075","sou","s2",7,"no","no"
"299",75,"S075","sou","s3",6,"no","yes"
"300",75,"S075","sou","s4",7,"no","yes"
"301",76,"S076","sou","s1",7,"yes","no"
"302",76,"S076","sou","s2",6,"no","no"
"303",76,"S076","sou","s3",6,"no","yes"
"304",76,"S076","sou","s4",7,"no","yes"
"305",77,"S077","sou","s1",6,"yes","no"
"306",77,"S077","sou","s2",7,"no","no"
"307",77,"S077","sou","s3",6,"no","yes"
"308",77,"S077","sou","s4",7,"no","yes"
"309",78,"S078","sou","s1",5,"yes","no"
"310",78,"S078","sou","s2",6,"no","no"
"311",78,"S078","sou","s3",4,"no","yes"
"312",78,"S078","sou","s4",7,"no","yes"
"313",79,"S079","sou","s1",3,"yes","no"
"314",79,"S079","sou","s2",4,"no","no"
"315",79,"S079","sou","s3",6,"no","yes"
"316",79,"S079","sou","s4",7,"no","yes"
"317",80,"S080","sou","s1",6,"yes","no"
"318",80,"S080","sou","s2",6,"no","no"
"319",80,"S080","sou","s3",6,"no","yes"
"320",80,"S080","sou","s4",7,"no","yes"
"321",81,"S081","sou","s1",6,"yes","no"
"322",81,"S081","sou","s2",7,"no","no"
"323",81,"S081","sou","s3",7,"no","yes"
"324",81,"S081","sou","s4",7,"no","yes"
"325",82,"S082","sou","s1",5,"yes","no"
"326",82,"S082","sou","s2",6,"no","no"
"327",82,"S082","sou","s3",6,"no","yes"
"328",82,"S082","sou","s4",7,"no","yes"
"329",83,"S083","sou","s1",6,"yes","no"
"330",83,"S083","sou","s2",6,"no","no"
"331",83,"S083","sou","s3",7,"no","yes"
"332",83,"S083","sou","s4",7,"no","yes"
"333",84,"S084","sou","s1",6,"yes","no"
"334",84,"S084","sou","s2",6,"no","no"
"335",84,"S084","sou","s3",7,"no","yes"
"336",84,"S084","sou","s4",7,"no","yes"
"337",85,"S085","sou","s1",5,"yes","no"
"338",85,"S085","sou","s2",4,"no","no"
"339",85,"S085","sou","s3",7,"no","yes"
"340",85,"S085","sou","s4",7,"no","yes"
"341",86,"S086","sou","s1",6,"yes","no"
"342",86,"S086","sou","s2",7,"no","no"
"343",86,"S086","sou","s3",5,"no","yes"
"344",86,"S086","sou","s4",7,"no","yes"
"345",87,"S087","sou","s1",5,"yes","no"
"346",87,"S087","sou","s2",6,"no","no"
"347",87,"S087","sou","s3",7,"no","yes"
